id	selected_letter	surface	status	source	notes
b-base-aby-y	b	aby	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-keby-y	b	keby	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byk-y	b	býk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byci-y	b	býčí	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byvol-y	b	byvol	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byl-y	b	byľ	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bylina-y	b	bylina	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bystry-y	b	bystrý	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bystrina-y	b	bystrina	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bystrica-y	b	Bystrica	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bytca-y	b	Bytča	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-zivobytie-y	b	živobytie	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bytost-y	b	bytosť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bytostny-y	b	bytostný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byvaly-y	b	bývalý	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byvat-y	b	bývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-obyvat-y	b	obývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-obyvatel-y	b	obyvateľ	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-prebyvat-y	b	prebývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bydlo-y	b	bydlo	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bydlisko-y	b	bydlisko	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-byt-y	b	byt	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-bytna-y	b	bytná	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-pribytok-y	b	príbytok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-vydobyt-y	b	vydobyť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-vydobytok-y	b	výdobytok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-dobyvat-y	b	dobývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-dobyjat-y	b	dobýjať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-dobytok-y	b	dobytok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-nabytok-y	b	nábytok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-zbytocny-y	b	zbytočný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-nadbytocny-y	b	nadbytočný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-prebytok-y	b	prebytok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-ubytok-y	b	úbytok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-odbyt-y	b	odbyt	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-neodbytny-y	b	neodbytný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-prvobytny-y	b	prvobytný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-kobyla-y	b	kobyla	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
b-base-obycaj-y	b	obyčaj	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
